YEAR_NUM,LOCALE_VA,SDOH_Median_Household_Income,MM_Drug_poison_deaths_p_100_0,SDOH_PMU,SDOH_Median_income,SDOH_Per_Adults_Bachelors,MM_Est_Age_adj_Death_Rate,SUM_Est_Age_adj_Deaths_Num,SUM_Population,POP_ESTIMATE_,Unemployed_,SDOH_Unemployment_Rate,Beneficiaries_with_Part_A_and_Pa,FFS_Beneficiaries,MA_Beneficiaries,HUTIL_MA_Participation_Rate,Average_Age,Average_HCC_Score,HCOSTS_Total_Actual_Costs,Total_Standardized_Costs,HCOSTS_Total_Standard_Risk_Adj,HCOSTS_Actual_Per_Capita_Costs,Standardized_Per_Capita_Costs,HCOSTS_Standard_Risk_Adj_Per_C,aggravated_assault,homicide,population,property_crime,violent_crime,Percent_of_Adult_Population_Rece,SDOH_Poverty_Estimate_All_Ages,Poverty_Percent_All_Ages,SDOH_violent_crime_rate,Long_Acting_Opioid_Prescribing_R,Opioid_Claims,Opioid_Prescribing_Rate,Overall_Claims,Part_D_Opioid_Prescribers,Part_D_Prescribers,YEAR_DT
2013,Alabama,43083.43095,12.45007981,7.263095238,47320,23.05269085,10.42695438,504.0099876,4833722,4833996,156998,7.2,893186,669697,223489,25.02,70,0.97,5748787121,6298910428,6991450189,8584.16,9405.61,10439.72,13788,346,4833996,161835,20834,10.84,889091,18.9,0.4309891858,9.6,2256479,7.74,29157450,7418,12821,01/01/13
2013,Alaska,63498,16.90897436,5.652222222,72472,27.6847143,12.41494301,91.26621885,735132,737259,25205,6.9,69433,68756,677,0.98,70,0.82,580227287.9,418853874.8,540542052.8,8438.93,6091.89,7861.74,3127,34,737259,21211,4709,4.12,72643,10.1,0.6387171944,19.07,86170,6.73,1280892,1095,2275,01/01/13
2013,Arizona,49509.07143,18.31794872,6.197619048,52611,27.09770592,17.61312392,1167.155497,6626624,6634997,237229,7.8,991824,577447,414377,41.78,72,0.91,5168575064,4849144669,5827317919,8950.73,8397.56,10091.52,17391,355,6634997,223294,27576,5.26,1206948,18.6,0.4156143552,15.84,1541513,6.97,22124355,10490,20542,01/01/13
2013,Arkansas,42037.42857,12.49615385,6.71547619,39376,20.64608405,12.86787293,380.8083571,2959373,2958765,96148,7.4,555245,441689,113556,20.45,70,0.93,3584055108,3823999103,4297548083,8114.43,8657.67,9729.81,9796,158,2958765,106477,13705,10.59,557399,19.4,0.4632000176,9.18,1127286,6.73,16757632,4698,7909,01/01/13
2013,California,58180.37218,11.40769231,6.515555556,60794,31.00197274,15.56342525,5965.853253,38332521,38431393,1668743,8.9,4863331,2766509,2096822,43.11,71,1.02,29920250117,24362770709,24162855345,10815.16,8806.32,8734.06,89029,1746,38431393,1018907,154739,4.86,6328064,16.8,0.4026369796,11.61,7209324,5.47,131842337,49623,109563,01/01/13
2013,Colorado,61777.72857,16.39871795,5.711904762,67912,37.46113616,14.08577399,742.0902687,5268367,5272086,189023,6.8,672942,408706,264236,39.27,71,0.88,3329283678,3192571454,3899512322,8145.91,7811.41,9541.12,9826,174,5272086,139974,16099,4.11,665351,12.9,0.3053630005,15.93,1081546,7.5,14413266,8810,17269,01/01/13
2013,Connecticut,67102.51662,13.78205128,5.171428571,69291,36.99949136,13.34448546,479.8783727,3596080,3599341,144580,7.7,561579,412862,148717,26.48,73,1.04,4603666752,3890847415,3940882902,11150.62,9424.09,9545.28,4906,91,3599341,71274,9439,5.05,373387,10.7,0.2622424494,16.59,668833,4.5,14868134,6280,16017,01/01/13
2013,Delaware,53238.2341,18.31025641,5.546428571,54091,29.43599952,14.81937262,137.1901938,925749,925240,29702,6.7,160187,146983,13204,8.24,72,0.98,1449524466,1336159945,1454557789,9861.85,9090.57,9896.1,2960,41,925240,29001,4633,6.18,115774,12.9,0.5007349444,18.89,232651,6.57,3539095,1566,3204,01/01/13
2013,Florida,47412.09762,13.95819481,6.323809524,48532,26.76253591,16.39534348,3205.758558,19552860,19600311,690157,7.3,3649437,2213241,1436196,39.35,73,1.07,24298591934,24333484726,24260691692,10978.74,10994.5,10961.61,61054,972,19600311,607170,91993,6.23,3268130,17.1,0.4693445936,12.74,5233622,5.21,100542921,28247,61029,01/01/13
2013,Georgia,49088.53033,11.00970036,5.486904762,46992,28.31162595,11.86344953,1185.415689,9992167,9994759,390799,8.2,1351620,944469,407151,30.12,70,1.01,8605824586,8890229518,9403669908,9111.81,9412.94,9956.57,21361,563,9994759,339808,37519,6.34,1849944,19,0.3753867402,10.12,2699424,6.56,41154138,13611,25625,01/01/13
2013,Hawaii,63931.03095,12.39230769,5.686904762,64235,30.47126663,10.8355365,152.1367836,1404054,1408987,31552,4.8,208850,98007,110843,53.07,73,0.91,699381648.5,593801236.6,681456400.2,7136.04,6058.76,6953.14,2111,32,1408987,45266,3585,4.11,153375,11.2,0.2544381176,14.33,175542,3.87,4533930,1690,4053,01/01/13
2013,Idaho,51400.1119,12.7525641,6.177222222,48467,25.41775522,12.23142838,197.1872602,1612136,1612843,47033,6.1,250917,168132,82785,32.99,71,0.87,1291619328,1278445626,1597806958,7682.17,7603.82,9503.29,2548,29,1612843,30230,3471,5.98,246708,15.6,0.2152100359,16.56,433676,7.71,5625884,2667,4752,01/01/13
2013,Illinois,54577.43333,12.55641026,6.438888889,53937,31.88968472,11.27279984,1452.177294,12882135,12890552,594127,9.1,1856528,1620399,236129,12.72,72,1,16369700739,15571947416,16313271992,10102.27,9609.95,10067.44,28161,722,12890552,296048,51956,5.45,1841996,14.6,0.4030548886,10.27,2288636,4.98,45984464,17940,41756,01/01/13
2013,Indiana,48025.05476,16.66794872,6.027380952,49455,23.62030673,14.40837348,946.7601013,6570902,6570713,244752,7.7,1060593,814354,246239,23.22,71,1,7589334932,7650291320,8050426414,9319.45,9394.31,9885.66,13915,357,6570713,187472,23627,6.74,1008411,15.8,0.3595804595,13.1,2120330,6.9,30713108,10628,19371,01/01/13
2013,Iowa,56078.67013,9.187179487,5.027222222,60156,26.35214734,7.057152305,218.095364,3090416,3092341,79755,4.8,533377,452084,81293,15.24,73,0.9,3587528490,3529089077,4238121482,7935.54,7806.27,9374.63,6332,41,3092341,67976,8443,5.48,377037,12.6,0.2730293975,13.86,803622,4.89,16448748,4876,9767,01/01/13
2013,Kansas,51575.65316,11.31538462,5.602222222,47820,30.71522869,10.10874095,292.5426164,2893957,2895801,79202,5.3,446533,383733,62800,14.06,72,0.93,3338298620,3418426747,3952487228,8699.53,8908.35,10300.1,7177,117,2895801,85704,9928,5.61,391718,13.9,0.3428412381,14.06,858527,6.36,13508124,4865,9120,01/01/13
2013,Kentucky,42177.8,25.5525641,7.832222222,44879,21.7719509,18.02406635,792.210887,4395295,4399583,165262,8,797274,597350,199924,25.08,69,1,5333905923,5556362190,5981235987,8929.28,9301.69,10012.95,4215,172,4399583,104448,9280,11.39,803044,18.8,0.2109290812,8.92,1759755,6.21,28330810,6619,14339,01/01/13
2013,Louisiana,42261.06429,14.61282051,6.947619048,46425,22.12168878,13.5286969,625.7658165,4625470,4629284,141689,6.7,723798,511651,212147,29.31,69,1.06,5360837894,5672401961,5518713646,10477.53,11086.47,10786.09,16331,494,4629284,165679,24127,8.69,897284,20,0.5211821094,7.88,1556183,6.34,24541664,7680,14819,01/01/13
2013,Maine,50751.96136,12.27435897,6.023809524,54957,28.36409592,13.48889759,179.1732965,1328302,1328702,46929,6.6,278108,222879,55229,19.86,70,0.93,1810193805,1731807062,1934025924,8121.87,7770.17,8677.47,907,24,1328702,30454,1761,9.41,181386,14,0.1325353616,17.65,423580,6.29,6734131,3090,5821,01/01/13
