CMS_FACILITY_ID,P_OVERPAY,SIMILARITY_SCORE,CMS_FACILITY_ID_1,RECOMMEND_ACTION_1,ACTION_DATE_1,US_STATE,RECOMMENDATION,DAILY_CALLS,MONTHLY_CALLS,CALL_TARGET,REASON,MONTHS_CUSTOMER,NEGATIVE_RATING,DAYS_PROD_OUT_OF_SERVICE,PRODUCT_AGE,CALL_INQUIRIES,NUM_CALLERS,CALL_TIME,PRODUCT_TYPE,FEEDBACK,Sentiment
215458,0,0.32,NPI_HOSP_001,expand the National Diabetes Prevention Program (NDPP) and to refine the regulations which cover Diabetes Self-Management Training (DSMT),4/12/2020,AZ,So there is no way for me to plug it in here in the US unless I go by a converter.,214,909,1217,ProdFailure,3,0,0,221.515426,2,26,34.88554143,Server,So there is no way for me to plug it in here in the US unless I go by a converter.,0
NPI_HOSP_12345,0.75,0.32,NPI_HOSP_001,Diabetes Self-Management Training (DSMT) and expanding the Diabetes Prevention Program (DPP),4/13/2020,FL,"Good case, Excellent value.",214,445,809,,,,,,,,37.82721876,,"Good case, Excellent value.",1
NPI_HOSP_12345,0.92,0.77,NPI_HOSP_002,"Did you place the patient on CGM?
What are the patient’s biochemical markers? HbA1C? Creatinine and electrolytes (kidney function measure). Blood pressure? ",4/14/2020,LA,Great for the jawbone.,214,494,694,ProdFailure,25,0,0,314.6389579,2,32,35.98208365,Other,Great for the jawbone.,1
289495,0,0.32,NPI_HOSP_003,expand the National Diabetes Prevention Program (NDPP) and to refine the regulations which cover Diabetes Self-Management Training (DSMT),4/15/2020,MN,Tied to charger for conversations lasting more than 45 minutes.MAJOR PROBLEMS!!,214,643,993,ProdGlitch,18,0,0,627.7023895,1,23,20.68871482,Laptop,Tied to charger for conversations lasting more than 45 minutes.MAJOR PROBLEMS!!,0
NPI_HOSP_12345,0.8,0.89,NPI_HOSP_004,"consider adjusting the intake criteria for participation in the Diabetes Prevention Program (DPP) to include those with a BMI of greater than 23 kg/m2, rather than the currently listed BMI of 25 kg/m2. Due to the fact that Asians should be screened for Diabetes Mellitus (DM) at a BMI of 23 kg/m2, a lower BMI risk than Caucasians, Pacific Islanders or African Americans, it will better reduce the risk of DM in Asian populations if they are able to participate in DPP with a BMI of 23 kg/m2. ",4/16/2020,PA,The mic is great.,214,922,1337,ProdFailure,11,0,0,81.44638031,3,15,41.39546183,Other,The mic is great.,1
387415,0.68,0.32,NPI_HOSP_005,"Cardiac Evaluation results (usually done as a stress test)
Does the provider emphasize or provide information about chronic care such as foot care, diet, and regular eye exams",4/17/2020,NJ,I have to jiggle the plug to get it to line up right to get decent volume.,214,72,247,ProdFailure,,0,0,62.26356587,2,18,41.57670052,Other,I have to jiggle the plug to get it to line up right to get decent volume.,0
NPI_HOSP_12345,0.85,0.5,NPI_HOSP_006,"consider adjusting the intake criteria for participation in the Diabetes Prevention Program (DPP) to include those with a BMI of greater than 23 kg/m2, rather than the currently listed BMI of 25 kg/m2. Due to the fact that Asians should be screened for Diabetes Mellitus (DM) at a BMI of 23 kg/m2, a lower BMI risk than Caucasians, Pacific Islanders or African Americans, it will better reduce the risk of DM in Asian populations if they are able to participate in DPP with a BMI of 23 kg/m2. ",4/18/2020,NY,"If you have several dozen or several hundred contacts, then imagine the fun of sending each of them one by one.",214,416,1034,ProdGlitch,6,0,0,122.1533442,0,15,31.61467953,Other,"If you have several dozen or several hundred contacts, then imagine the fun of sending each of them one by one.",0
536701,0,0.32,NPI_HOSP_007,expand the National Diabetes Prevention Program (NDPP) and to refine the regulations which cover Diabetes Self-Management Training (DSMT),4/19/2020,FL,If you are Razr owner...you must have this!,214,701,948,ProdFailure,4,0,0,109.780321,1,29,35.63050485,Other,If you are Razr owner...you must have this!,1
502935,0,0.32,NPI_HOSP_008,"It is critical that this code establishes an appropriate 
value to continue the collaboration between the primary health care providers and ophthalmologist readers to make 
the investments necessary to close this critical care gap for patients living with diabetes. DPAC respectively urges 
CMS to correct this error and value CPT Code 92228 equivalent to CPT Code 92250 and CPT Code 92229's proposed RUC 
valuation, at minimum.",4/20/2020,LA,"Needless to say, I wasted my money.",214,1431,1850,ProdGlitch,7,0,0,314.9842869,0,17,43.10300163,Desktop,"Needless to say, I wasted my money.",0
425451,0,0.32,NPI_HOSP_009,"It is critical that this code establishes an appropriate 
value to continue the collaboration between the primary health care providers and ophthalmologist readers to make 
the investments necessary to close this critical care gap for patients living with diabetes. DPAC respectively urges 
CMS to correct this error and value CPT Code 92228 equivalent to CPT Code 92250 and CPT Code 92229's proposed RUC 
valuation, at minimum.",4/21/2020,MN,What a waste of money and time!.,214,1280,1678,ProdFailure,6,0,0,180.4173542,0,38,17.49570049,Laptop,What a waste of money and time!.,0
