"Tweet Text Cleaned:","Search Term:","getCreatedAt:","getUserLocation:","getUser:","USER.getScreenName:","USER.getDescription:","USER.getFollowersCount:","USER.getFriendsCount:","USER.getId:","USER.getLang:","USER.getLocation:","USER.getName:","USER.getStatus:","USER.getTimeZone:","USER.isGeoEnabled:","getPlace:","getGeoLocation:","getId:","getContributors:","getCurrentUserRetweetId:","getRetweetCount:","getRetweetedStatus:","getSource:","isFavorited:","User Language:"
"RT @BrianGPowell: 98 million Americans were given polio vaccine contaminated with cancer-causing virus, admits #CDC","CDC Vaccine","Thu May 01 16:42:53 EDT 2014","","UserJSONImpl{id=237984820, name='Patrice Harbour', screenName='trixienovel', location='', description='WrkSvd2disk~copyrghtd~RT DSN'T=ENDORSMNT*MyTweets*R*MyOpinion*WE MayAgre 2DsAgre #Oathkeeper #Conservative #Libertarian #Christian #Humanitarian WifeMomGMa', isContributorsEnabled=false, profileImageUrl='http://pbs.twimg.com/profile_images/432206491697676288/u3LxHd-1_normal.jpeg', profileImageUrlHttps='https://pbs.twimg.com/profile_images/432206491697676288/u3LxHd-1_normal.jpeg', url='null', isProtected=false, followersCount=1747, status=null, profileBackgroundColor='8B542B', profileTextColor='333333', profileLinkColor='9D582E', profileSidebarFillColor='EADEAA', profileSidebarBorderColor='D9B17E', profileUseBackgroundImage=true, showAllInlineMedia=false, friendsCount=2024, createdAt=Thu Jan 13 21:55:54 EST 2011, favouritesCount=29749, utcOffset=-25200, timeZone='Pacific Time (US & Canada)', profileBackgroundImageUrl='http://abs.twimg.com/images/themes/theme8/bg.gif', profileBackgroundImageUrlHttps='https://abs.twimg.com/images/themes/theme8/bg.gif', profileBackgroundTiled=false, lang='en', statusesCount=59421, isGeoEnabled=true, isVerified=false, translator=false, listedCount=63, isFollowRequestSent=false}","trixienovel","WrkSvd2disk~copyrghtd~RT DSN'T=ENDORSMNT*MyTweets*R*MyOpinion*WE MayAgre 2DsAgre #Oathkeeper #Conservative #Libertarian #Christian #Humanitarian WifeMomGMa","1747","2024","237984820","en","","Patrice Harbour","null","Pacific Time (US & Canada)","true","null","null","461969028320219136","[J@2927fa12","-1","1","StatusJSONImpl{createdAt=Thu May 01 16:40:57 EDT 2014, id=461968541642915840, text='98 million Americans were given polio vaccine contaminated with cancer-causing virus, admits #CDC', source='web', isTruncated=false, inReplyToStatusId=-1, inReplyToUserId=-1, isFavorited=false, isRetweeted=false, favoriteCount=0, inReplyToScreenName='null', geoLocation=null, place=null, retweetCount=1, isPossiblySensitive=false, isoLanguageCode='en', lang='en', contributorsIDs=[], retweetedStatus=null, userMentionEntities=[], urlEntities=[], hashtagEntities=[HashtagEntityJSONImpl{text='CDC'}], mediaEntities=[], symbolEntities=[], currentUserRetweetId=-1, user=UserJSONImpl{id=68741593, name='Brian G. Powell', screenName='BrianGPowell', location='9,11=#TerrorFarceDay=#NWO=#MIC', description='#6thColumn vs. http://t.co/PgUofc40yV', isContributorsEnabled=false, profileImageUrl='http://pbs.twimg.com/profile_images/392914714/725_Julia_sets_408x408_too-dark-orange_normal.png', profileImageUrlHttps='https://pbs.twimg.com/profile_images/392914714/725_Julia_sets_408x408_too-dark-orange_normal.png', url='http://t.co/Qy5JicV80g', isProtected=false, followersCount=3534, status=null, profileBackgroundColor='C0DEED', profileTextColor='333333', profileLinkColor='0084B4', profileSidebarFillColor='DDEEF6', profileSidebarBorderColor='FFFFFF', profileUseBackgroundImage=true, showAllInlineMedia=false, friendsCount=3669, createdAt=Tue Aug 25 12:49:15 EDT 2009, favouritesCount=3632, utcOffset=-14400, timeZone='Eastern Time (US & Canada)', profileBackgroundImageUrl='http://pbs.twimg.com/profile_background_images/47194381/725_Julia_sets_408x408_too-dark-orange.png', profileBackgroundImageUrlHttps='https://pbs.twimg.com/profile_background_images/47194381/725_Julia_sets_408x408_too-dark-orange.png', profileBackgroundTiled=true, lang='en', statusesCount=36983, isGeoEnabled=false, isVerified=false, translator=false, listedCount=51, isFollowRequestSent=false}}","<a href=https://twitter.com/download/android rel=nofollow>Twitter for  Android</a>","false","en"
"98 million Americans were given polio vaccine contaminated with cancer-causing virus, admits #CDC=#NWO=#Illuminati=#Genocide=#WeAreSheeple!","CDC Vaccine","Thu May 01 16:41:26 EDT 2014","9,11=#TerrorFarceDay=#NWO=#MIC","UserJSONImpl{id=68741593, name='Brian G. Powell', screenName='BrianGPowell', location='9,11=#TerrorFarceDay=#NWO=#MIC', description='#6thColumn vs. http://t.co/PgUofc40yV', isContributorsEnabled=false, profileImageUrl='http://pbs.twimg.com/profile_images/392914714/725_Julia_sets_408x408_too-dark-orange_normal.png', profileImageUrlHttps='https://pbs.twimg.com/profile_images/392914714/725_Julia_sets_408x408_too-dark-orange_normal.png', url='http://t.co/Qy5JicV80g', isProtected=false, followersCount=3534, status=null, profileBackgroundColor='C0DEED', profileTextColor='333333', profileLinkColor='0084B4', profileSidebarFillColor='DDEEF6', profileSidebarBorderColor='FFFFFF', profileUseBackgroundImage=true, showAllInlineMedia=false, friendsCount=3669, createdAt=Tue Aug 25 12:49:15 EDT 2009, favouritesCount=3632, utcOffset=-14400, timeZone='Eastern Time (US & Canada)', profileBackgroundImageUrl='http://pbs.twimg.com/profile_background_images/47194381/725_Julia_sets_408x408_too-dark-orange.png', profileBackgroundImageUrlHttps='https://pbs.twimg.com/profile_background_images/47194381/725_Julia_sets_408x408_too-dark-orange.png', profileBackgroundTiled=true, lang='en', statusesCount=36983, isGeoEnabled=false, isVerified=false, translator=false, listedCount=51, isFollowRequestSent=false}","BrianGPowell","#6thColumn vs. http://t.co/PgUofc40yV","3534","3669","68741593","en","9,11=#TerrorFarceDay=#NWO=#MIC","Brian G. Powell","null","Eastern Time (US & Canada)","false","null","null","461968659943280641","[J@7dc05ffd","-1","0","null","web","false","en"
"98 million Americans were given polio vaccine contaminated with cancer-causing virus, admits #CDC","CDC Vaccine","Thu May 01 16:40:57 EDT 2014","9,11=#TerrorFarceDay=#NWO=#MIC","UserJSONImpl{id=68741593, name='Brian G. Powell', screenName='BrianGPowell', location='9,11=#TerrorFarceDay=#NWO=#MIC', description='#6thColumn vs. http://t.co/PgUofc40yV', isContributorsEnabled=false, profileImageUrl='http://pbs.twimg.com/profile_images/392914714/725_Julia_sets_408x408_too-dark-orange_normal.png', profileImageUrlHttps='https://pbs.twimg.com/profile_images/392914714/725_Julia_sets_408x408_too-dark-orange_normal.png', url='http://t.co/Qy5JicV80g', isProtected=false, followersCount=3534, status=null, profileBackgroundColor='C0DEED', profileTextColor='333333', profileLinkColor='0084B4', profileSidebarFillColor='DDEEF6', profileSidebarBorderColor='FFFFFF', profileUseBackgroundImage=true, showAllInlineMedia=false, friendsCount=3669, createdAt=Tue Aug 25 12:49:15 EDT 2009, favouritesCount=3632, utcOffset=-14400, timeZone='Eastern Time (US & Canada)', profileBackgroundImageUrl='http://pbs.twimg.com/profile_background_images/47194381/725_Julia_sets_408x408_too-dark-orange.png', profileBackgroundImageUrlHttps='https://pbs.twimg.com/profile_background_images/47194381/725_Julia_sets_408x408_too-dark-orange.png', profileBackgroundTiled=true, lang='en', statusesCount=36983, isGeoEnabled=false, isVerified=false, translator=false, listedCount=51, isFollowRequestSent=false}","BrianGPowell","#6thColumn vs. http://t.co/PgUofc40yV","3534","3669","68741593","en","9,11=#TerrorFarceDay=#NWO=#MIC","Brian G. Powell","null","Eastern Time (US & Canada)","false","null","null","461968541642915840","[J@60de1b8a","-1","1","null","web","false","en"
"@WinstonS6079W @Englandanon 98 million Americans were given polio vaccine contaminated with cancer-causing virus, admits #CDC","CDC Vaccine","Thu May 01 16:33:58 EDT 2014","9,11=#TerrorFarceDay=#NWO=#MIC","UserJSONImpl{id=68741593, name='Brian G. Powell', screenName='BrianGPowell', location='9,11=#TerrorFarceDay=#NWO=#MIC', description='#6thColumn vs. http://t.co/PgUofc40yV', isContributorsEnabled=false, profileImageUrl='http://pbs.twimg.com/profile_images/392914714/725_Julia_sets_408x408_too-dark-orange_normal.png', profileImageUrlHttps='https://pbs.twimg.com/profile_images/392914714/725_Julia_sets_408x408_too-dark-orange_normal.png', url='http://t.co/Qy5JicV80g', isProtected=false, followersCount=3534, status=null, profileBackgroundColor='C0DEED', profileTextColor='333333', profileLinkColor='0084B4', profileSidebarFillColor='DDEEF6', profileSidebarBorderColor='FFFFFF', profileUseBackgroundImage=true, showAllInlineMedia=false, friendsCount=3669, createdAt=Tue Aug 25 12:49:15 EDT 2009, favouritesCount=3632, utcOffset=-14400, timeZone='Eastern Time (US & Canada)', profileBackgroundImageUrl='http://pbs.twimg.com/profile_background_images/47194381/725_Julia_sets_408x408_too-dark-orange.png', profileBackgroundImageUrlHttps='https://pbs.twimg.com/profile_background_images/47194381/725_Julia_sets_408x408_too-dark-orange.png', profileBackgroundTiled=true, lang='en', statusesCount=36983, isGeoEnabled=false, isVerified=false, translator=false, listedCount=51, isFollowRequestSent=false}","BrianGPowell","#6thColumn vs. http://t.co/PgUofc40yV","3534","3669","68741593","en","9,11=#TerrorFarceDay=#NWO=#MIC","Brian G. Powell","null","Eastern Time (US & Canada)","false","null","null","461966780588883968","[J@15e232b5","-1","0","null","web","false","en"
"#CDC forced to release documents showing they knew #vaccine preservative causes #autism #vaccines http://t.co/k5gtRnpKfW","CDC Vaccine","Thu May 01 16:33:16 EDT 2014","God Blessed Texas !","UserJSONImpl{id=2369506560, name='David Aaron Batten™', screenName='dmbatten2', location='God Blessed Texas !', description='*Country Music Lover * *Stray Cats Adopt Me* *Conservative, Christian, Unapologetic* *#TCOT* *#PJNET* *#CTOT* *#ORPUW* *WAAR* * ?????   *', isContributorsEnabled=false, profileImageUrl='http://pbs.twimg.com/profile_images/440271233632858114/aXR7egrj_normal.jpeg', profileImageUrlHttps='https://pbs.twimg.com/profile_images/440271233632858114/aXR7egrj_normal.jpeg', url='null', isProtected=false, followersCount=3622, status=null, profileBackgroundColor='1B2124', profileTextColor='333333', profileLinkColor='0084B4', profileSidebarFillColor='DDEEF6', profileSidebarBorderColor='000000', profileUseBackgroundImage=false, showAllInlineMedia=false, friendsCount=3787, createdAt=Sun Mar 02 18:20:49 EST 2014, favouritesCount=228, utcOffset=-1, timeZone='null', profileBackgroundImageUrl='http://pbs.twimg.com/profile_background_images/440380515271467008/Kj8w0Yj2.jpeg', profileBackgroundImageUrlHttps='https://pbs.twimg.com/profile_background_images/440380515271467008/Kj8w0Yj2.jpeg', profileBackgroundTiled=false, lang='en', statusesCount=10932, isGeoEnabled=false, isVerified=false, translator=false, listedCount=74, isFollowRequestSent=false}","dmbatten2","*Country Music Lover * *Stray Cats Adopt Me* *Conservative, Christian, Unapologetic* *#TCOT* *#PJNET* *#CTOT* *#ORPUW* *WAAR* * ?????   *","3622","3787","2369506560","en","God Blessed Texas !","David Aaron Batten™","null","null","false","null","null","461966606428422144","[J@356f144c","-1","0","null","<a href=http://patriotjournalist.com rel=nofollow>PatriotJournalist</a>","false","en"
"Measles cases in U.S. rise; most unvaccinated http://t.co/hTVp7QXk6a via @usatoday #CDCvax","CDC Vaccine","Thu May 01 16:00:13 EDT 2014","","UserJSONImpl{id=490639806, name='Kurt Kemmerer', screenName='GoneSkiing44', location='', description='', isContributorsEnabled=false, profileImageUrl='http://pbs.twimg.com/profile_images/1822824878/PapaTimbersFlag_normal.jpg', profileImageUrlHttps='https://pbs.twimg.com/profile_images/1822824878/PapaTimbersFlag_normal.jpg', url='null', isProtected=false, followersCount=52, status=null, profileBackgroundColor='C0DEED', profileTextColor='333333', profileLinkColor='0084B4', profileSidebarFillColor='DDEEF6', profileSidebarBorderColor='C0DEED', profileUseBackgroundImage=true, showAllInlineMedia=false, friendsCount=344, createdAt=Sun Feb 12 14:18:31 EST 2012, favouritesCount=699, utcOffset=-1, timeZone='null', profileBackgroundImageUrl='http://abs.twimg.com/images/themes/theme1/bg.png', profileBackgroundImageUrlHttps='https://abs.twimg.com/images/themes/theme1/bg.png', profileBackgroundTiled=false, lang='en', statusesCount=903, isGeoEnabled=false, isVerified=false, translator=false, listedCount=0, isFollowRequestSent=false}","GoneSkiing44","","52","344","490639806","en","","Kurt Kemmerer","null","null","false","null","null","461958288712560641","[J@f9da4fc","-1","0","null","<a href=http://twitter.com/tweetbutton rel=nofollow>Tweet Button</a>","false","en"
"#Vaccine #preventable #diseases may be a threat to #unvaccinated children. Protect your #child #NIIW http://t.co/3xDMARlqPg","CDC Vaccine","Thu May 01 16:00:05 EDT 2014","Arizona","UserJSONImpl{id=16952753, name='AZ Dept. of Health', screenName='AZDHS', location='Arizona', description='Arizona Department of Health Services: Health and Wellness for all Arizonans', isContributorsEnabled=false, profileImageUrl='http://pbs.twimg.com/profile_images/443121725731926016/J8Z-rJaU_normal.png', profileImageUrlHttps='https://pbs.twimg.com/profile_images/443121725731926016/J8Z-rJaU_normal.png', url='http://t.co/skKX9HwyRw', isProtected=false, followersCount=7126, status=null, profileBackgroundColor='69A1EB', profileTextColor='333333', profileLinkColor='2A5D8C', profileSidebarFillColor='EEEEEE', profileSidebarBorderColor='666666', profileUseBackgroundImage=true, showAllInlineMedia=false, friendsCount=281, createdAt=Fri Oct 24 13:17:53 EDT 2008, favouritesCount=31, utcOffset=-25200, timeZone='Arizona', profileBackgroundImageUrl='http://pbs.twimg.com/profile_background_images/449090955/ADHS-twitter-bkgd2.png', profileBackgroundImageUrlHttps='https://pbs.twimg.com/profile_background_images/449090955/ADHS-twitter-bkgd2.png', profileBackgroundTiled=false, lang='en', statusesCount=7120, isGeoEnabled=true, isVerified=false, translator=false, listedCount=294, isFollowRequestSent=false}","AZDHS","Arizona Department of Health Services: Health and Wellness for all Arizonans","7126","281","16952753","en","Arizona","AZ Dept. of Health","null","Arizona","true","null","null","461958253237129216","[J@36baa466","-1","0","null","<a href=http://sproutsocial.com rel=nofollow>Sprout Social</a>","false","en"
"The term CDC's vaccine bullies is a lie for a start @GingerTaylor No email, we'll keep it public @naodnosaj @doritmi","CDC Vaccine","Thu May 01 15:20:09 EDT 2014","La belle France","UserJSONImpl{id=129024290, name='anarchic_teapot', screenName='anarchic_teapot', location='La belle France', description='Teapot MD (Myth Debollockser). Pro-science gadfly and idiot magnet. Evidence-based profanity. Arrant nonsense propounded as fact *will* be mocked.', isContributorsEnabled=false, profileImageUrl='http://pbs.twimg.com/profile_images/378800000383844423/c64503a88250ff6c67ae4c8abb1ef95b_normal.jpeg', profileImageUrlHttps='https://pbs.twimg.com/profile_images/378800000383844423/c64503a88250ff6c67ae4c8abb1ef95b_normal.jpeg', url='http://t.co/hujnIVlvgE', isProtected=false, followersCount=1254, status=null, profileBackgroundColor='352726', profileTextColor='A7B5C2', profileLinkColor='2C2FCF', profileSidebarFillColor='C5D9D5', profileSidebarBorderColor='FFFFFF', profileUseBackgroundImage=true, showAllInlineMedia=false, friendsCount=298, createdAt=Fri Apr 02 19:42:45 EDT 2010, favouritesCount=133, utcOffset=7200, timeZone='Paris', profileBackgroundImageUrl='http://pbs.twimg.com/profile_background_images/442626693484658689/aXxdlg3z.jpeg', profileBackgroundImageUrlHttps='https://pbs.twimg.com/profile_background_images/442626693484658689/aXxdlg3z.jpeg', profileBackgroundTiled=false, lang='en', statusesCount=64624, isGeoEnabled=false, isVerified=false, translator=false, listedCount=76, isFollowRequestSent=false}","anarchic_teapot","Teapot MD (Myth Debollockser). Pro-science gadfly and idiot magnet. Evidence-based profanity. Arrant nonsense propounded as fact *will* be mocked.","1254","298","129024290","en","La belle France","anarchic_teapot","null","Paris","false","null","null","461948206184927232","[J@177f409c","-1","0","null","web","false","en"
"New 2014 CDC report: 1 in 68 kids autistic. That means 1 in 42 boys. 1960's: 1 in 10,000.   http://t.co/I2xkg3Dszd","CDC Vaccine","Thu May 01 15:18:46 EDT 2014","NYC area","UserJSONImpl{id=264788351, name='David Lender', screenName='davidtlender', location='NYC area', description='Thriller author: Mickey Outside, Arab Summer, Rudiger, Sasha Del Mira Series, White Collar Crime Series and others. Loves wine, food, music, novels, exercise.', isContributorsEnabled=false, profileImageUrl='http://pbs.twimg.com/profile_images/1269878248/Facebook_Photo_normal.JPG', profileImageUrlHttps='https://pbs.twimg.com/profile_images/1269878248/Facebook_Photo_normal.JPG', url='http://t.co/9rYEluVNHC', isProtected=false, followersCount=12565, status=null, profileBackgroundColor='050504', profileTextColor='333333', profileLinkColor='0084B4', profileSidebarFillColor='FAFAFA', profileSidebarBorderColor='000000', profileUseBackgroundImage=true, showAllInlineMedia=false, friendsCount=10592, createdAt=Sat Mar 12 08:19:19 EST 2011, favouritesCount=6, utcOffset=-14400, timeZone='Eastern Time (US & Canada)', profileBackgroundImageUrl='http://pbs.twimg.com/profile_background_images/444572850540662784/trLvQ3eQ.jpeg', profileBackgroundImageUrlHttps='https://pbs.twimg.com/profile_background_images/444572850540662784/trLvQ3eQ.jpeg', profileBackgroundTiled=true, lang='en', statusesCount=89326, isGeoEnabled=false, isVerified=false, translator=false, listedCount=412, isFollowRequestSent=false}","davidtlender","Thriller author: Mickey Outside, Arab Summer, Rudiger, Sasha Del Mira Series, White Collar Crime Series and others. Loves wine, food, music, novels, exercise.","12565","10592","264788351","en","NYC area","David Lender","null","Eastern Time (US & Canada)","false","null","null","461947856832987136","[J@2b8bbc5a","-1","0","null","<a href=http://gremln.com rel=nofollow>Gremln</a>","false","en"
"RT @GingerTaylor: 86 Research Papers that show the vaccine/autism link, that CDC ignores. http://t.co/JklpiYFVLw #CDCVax","CDC Vaccine","Thu May 01 15:00:23 EDT 2014","","UserJSONImpl{id=826225778, name='Sandi', screenName='gmawarrior', location='', description='', isContributorsEnabled=false, profileImageUrl='http://pbs.twimg.com/profile_images/447153376653242368/KbO11dAY_normal.jpeg', profileImageUrlHttps='https://pbs.twimg.com/profile_images/447153376653242368/KbO11dAY_normal.jpeg', url='null', isProtected=false, followersCount=151, status=null, profileBackgroundColor='C0DEED', profileTextColor='333333', profileLinkColor='0084B4', profileSidebarFillColor='DDEEF6', profileSidebarBorderColor='C0DEED', profileUseBackgroundImage=true, showAllInlineMedia=false, friendsCount=586, createdAt=Sat Sep 15 20:55:22 EDT 2012, favouritesCount=1630, utcOffset=-1, timeZone='null', profileBackgroundImageUrl='http://abs.twimg.com/images/themes/theme1/bg.png', profileBackgroundImageUrlHttps='https://abs.twimg.com/images/themes/theme1/bg.png', profileBackgroundTiled=false, lang='en', statusesCount=2089, isGeoEnabled=false, isVerified=false, translator=false, listedCount=3, isFollowRequestSent=false}","gmawarrior","","151","586","826225778","en","","Sandi","null","null","false","null","null","461943230431768576","[J@62facf0b","-1","23","StatusJSONImpl{createdAt=Wed Apr 30 06:50:09 EDT 2014, id=461457471031508992, text='86 Research Papers that show the vaccine/autism link, that CDC ignores. http://t.co/JklpiYFVLw #CDCVax', source='<a href=http://twitter.com/download/android rel=nofollow>Twitter for Android</a>', isTruncated=false, inReplyToStatusId=-1, inReplyToUserId=-1, isFavorited=false, isRetweeted=false, favoriteCount=20, inReplyToScreenName='null', geoLocation=null, place=null, retweetCount=23, isPossiblySensitive=false, isoLanguageCode='en', lang='en', contributorsIDs=[], retweetedStatus=null, userMentionEntities=[], urlEntities=[URLEntityJSONImpl{url='http://t.co/JklpiYFVLw', expandedURL='http://www.scribd.com/mobile/doc/220807175?width=360', displayURL='scribd.com/mobile/doc/220…'}], hashtagEntities=[HashtagEntityJSONImpl{text='CDCVax'}], mediaEntities=[], symbolEntities=[], currentUserRetweetId=-1, user=UserJSONImpl{id=38335753, name='Ginger Taylor', screenName='GingerTaylor', location='Brunswick, ME', description='Author, Blogger, Activist, Liberty R, Autism Mom and Media Director http://t.co/diG4zUCjp1.  I really, really don't like corruption.  Seriously.  It bothers me.', isContributorsEnabled=false, profileImageUrl='http://pbs.twimg.com/profile_images/427615525284237312/CV3WOexM_normal.jpeg', profileImageUrlHttps='https://pbs.twimg.com/profile_images/427615525284237312/CV3WOexM_normal.jpeg', url='http://t.co/BRS8ujLkbJ', isProtected=false, followersCount=1729, status=null, profileBackgroundColor='302A14', profileTextColor='302A14', profileLinkColor='6F5702', profileSidebarFillColor='E4DAB4', profileSidebarBorderColor='6F5702', profileUseBackgroundImage=true, showAllInlineMedia=false, friendsCount=874, createdAt=Wed May 06 21:42:47 EDT 2009, favouritesCount=45, utcOffset=-14400, timeZone='Eastern Time (US & Canada)', profileBackgroundImageUrl='http://pbs.twimg.com/profile_background_images/316027695/twilk_background_4e502c99e3c36.jpg', profileBackgroundImageUrlHttps='https://pbs.twimg.com/profile_background_images/316027695/twilk_background_4e502c99e3c36.jpg', profileBackgroundTiled=true, lang='en', statusesCount=6271, isGeoEnabled=true, isVerified=false, translator=false, listedCount=106, isFollowRequestSent=false}}","<a href=http://twitter.com/download/iphone rel=nofollow>Twitter for iPhone</a>","false","en"
