CMS_REGION_LOCATION,Provider_State,Week_Ending,Residents_Weekly_Confirmed_COVID,Residents_Total_Confirmed_COVID_,Residents_Weekly_COVID_19_Deaths,Residents_Total_COVID_19_Deaths,Number_of_All_Beds,Staff_Weekly_Confirmed_COVID_19,Staff_Total_Confirmed_COVID_19,Staff_Weekly_COVID_19_Deaths,Staff_Total_COVID_19_Deaths,Summary_Category,State,Service_Category,Provider_ID,Distinct_Beneficiaries,Episode_or_Stay_Count,Total_Charge_Amount,Percent_Dual_Beneficiaries,Average_Age,Percent_Male_Beneficiaries,Percent_Female_Beneficiaries,Percent_White_Beneficiaries,Percent_Black_Beneficiaries,Percent_Asian_Pacific_Islander_B,Percent_Hispanic_Beneficiaries,Percent_American_Indian_or_Alask,Percent_Other_Unknown_Beneficiar,Average_HCC_Score,Total_Nursing_Minutes,CMS_REGION,myweek,ZZ_RES_CCases_CV19_PER_BEDS,ZZ_RES_Deaths_CV19_PER_BEDS,ZZ_RES_Death_CCases_CV19,ZZL_RES_CCases_CV19_PER_BEDS,ZZL_RES_Deaths_CV19_PER_BEDS,ZZL_RES_Death_CCases_CV19,Z_Percent_OTHER,Z_RES_TOT_Conf_CV19_OTHER,Z_RES_TOT_Conf_CV19_WHITE,Z_RES_TOT_Conf_CV19_BLACK,Z_RES_TOT_Conf_CV19_OTHER_BEDS,Z_RES_TOT_Conf_CV19_WHITE_BEDS,Z_RES_TOT_Conf_CV19_BLACK_BEDS,Z_RES_Conf_CV19_OTHER_BEDS_100,Z_RES_Conf_CV19_WHITE_BEDS_100,Z_RES_Conf_CV19_BLACK_BEDS_100,Z_RES_Conf_CV19_OTHER_BEDS_100_L,Z_RES_Conf_CV19_WHITE_BEDS_100_L,Z_RES_Conf_CV19_BLACK_BEDS_100_L,Z_RES_TOT_Death_CV19_OTHER,Z_RES_TOT_Death_CV19_WHITE,Z_RES_TOT_Death_CV19_BLACK,Z_RES_TOT_Death_CV19_OTHER_BEDS,Z_RES_TOT_Death_CV19_WHITE_BEDS,Z_RES_TOT_Death_CV19_BLACK_BEDS,Z_RES_Death_CV19_OTHER_BEDS_100,Z_RES_Death_CV19_WHITE_BEDS_100,Z_RES_Death_CV19_BLACK_BEDS_100,Z_RES_Death_CV19_OTHER_BED100_L,Z_RES_Death_CV19_WHITE_BED100_L,Z_RES_Death_CV19_BLACK_BED100_L,Percent_Black_Bene_20PerPlus
Atlanta,AL,5/24/2020,1038,1038,230,230,25810,685,685,3,3,STATE,AL,SNF,STATE,31855,39217,520728229,0.26,78,0.37,0.63,0.8,0.19,0,0,0,0,2.27,NA,CMS Region 04,21,4.021697017,0.89112747,4.513043478,1.391703957,-0.115267798,1.506971755,0,0,830.4,197.22,0,0.032173576,0.007641224,0,3.217357613,0.764122433,0,1.168560406,-0.26902725,0,184,43.7,0,0.00712902,0.001693142,0,0.712901976,0.169314219,0,-0.338411349,-1.775999005,0
Atlanta,AL,5/31/2020,162,1200,31,261,26172,128,813,1,4,STATE,AL,SNF,STATE,31855,39217,520728229,0.26,78,0.37,0.63,0.8,0.19,0,0,0,0,2.27,NA,CMS Region 04,22,4.585052728,0.997248968,4.597701149,1.522801606,-0.002754823,1.525556429,0,0,960,228,0,0.036680422,0.0087116,0,3.668042183,0.871160018,0,1.299658055,-0.137929601,0,208.8,49.59,0,0.007977992,0.001894773,0,0.797799175,0.189477304,0,-0.225898374,-1.66348603,0
Atlanta,AL,6/7/2020,196,1396,25,286,26137,125,938,1,5,STATE,AL,SNF,STATE,31855,39217,520728229,0.26,78,0.37,0.63,0.8,0.19,0,0,0,0,2.27,NA,CMS Region 04,23,5.341087347,1.094234227,4.881118881,1.675429255,0.090054783,1.585374473,0,0,1116.8,265.24,0,0.042728699,0.010148066,0,4.272869878,1.014806596,0,1.452285704,0.014698049,0,228.8,54.34,0,0.008753874,0.002079045,0,0.875387382,0.207904503,0,-0.133088768,-1.570676424,0
Atlanta,AL,6/14/2020,191,1587,27,313,26292,117,1055,0,5,STATE,AL,SNF,STATE,31855,39217,520728229,0.26,78,0.37,0.63,0.8,0.19,0,0,0,0,2.27,NA,CMS Region 04,24,6.036056595,1.190476191,5.07028754,1.797750917,0.174353387,1.62339753,0,0,1269.6,301.53,0,0.048288453,0.011468508,0,4.828845276,1.146850753,0,1.574607366,0.13701971,0,250.4,59.47,0,0.00952381,0.002261905,0,0.952380952,0.226190476,0,-0.048790164,-1.48637782,0
Atlanta,AL,6/21/2020,298,1885,26,339,26409,229,1284,1,6,STATE,AL,SNF,STATE,31855,39217,520728229,0.26,78,0.37,0.63,0.8,0.19,0,0,0,0,2.27,NA,CMS Region 04,25,7.137718202,1.2836533,5.560471976,1.965393146,0.249710153,1.715682993,0,0,1508,358.15,0,0.057101746,0.013561665,0,5.710174562,1.356166458,0,1.742249594,0.304661939,0,271.2,64.41,0,0.010269226,0.002438941,0,1.02692264,0.243894127,0,0.026566602,-1.411021054,0
Atlanta,AL,6/28/2020,370,2255,36,375,26511,297,1581,0,6,STATE,AL,SNF,STATE,31855,39217,520728229,0.26,78,0.37,0.63,0.8,0.19,0,0,0,0,2.27,NA,CMS Region 04,26,8.50590321,1.414507186,6.013333333,2.140760418,0.346781192,1.793979226,0,0,1804,428.45,0,0.068047226,0.016161216,0,6.804722568,1.61612161,0,1.917616866,0.480029211,0,300,71.25,0,0.011316058,0.002687564,0,1.131605749,0.268756365,0,0.123637641,-1.313950015,0
Atlanta,AL,7/5/2020,380,2635,41,416,26511,321,1902,1,7,STATE,AL,SNF,STATE,31855,39217,520728229,0.26,78,0.37,0.63,0.8,0.19,0,0,0,0,2.27,NA,CMS Region 04,27,9.939270492,1.569159971,6.334134615,2.296493627,0.450540426,1.845953201,0,0,2108,500.65,0,0.079514164,0.018884614,0,7.951416393,1.888461393,0,2.073350076,0.63576242,0,332.8,79.04,0,0.01255328,0.002981404,0,1.255327977,0.298140395,0,0.227396875,-1.210190781,0
Atlanta,AL,7/12/2020,455,3090,42,458,26511,405,2307,1,8,STATE,AL,SNF,STATE,31855,39217,520728229,0.26,78,0.37,0.63,0.8,0.19,0,0,0,0,2.27,NA,CMS Region 04,28,11.65553921,1.727584776,6.746724891,2.455781536,0.54672435,1.909057186,0,0,2472,587.1,0,0.093244314,0.022145525,0,9.324431368,2.21455245,0,2.232637984,0.795050329,0,366.4,87.02,0,0.013820678,0.003282411,0,1.382067821,0.328241108,0,0.323580799,-1.114006857,0
Atlanta,AL,7/19/2020,521,3611,73,531,26543,412,2719,2,10,STATE,AL,SNF,STATE,31855,39217,520728229,0.26,78,0.37,0.63,0.8,0.19,0,0,0,0,2.27,NA,CMS Region 04,29,13.60434013,2.000527446,6.800376648,2.610388869,0.693410869,1.916978,0,0,2888.8,686.09,0,0.108834721,0.025848246,0,10.8834721,2.584824624,0,2.387245318,0.949657662,0,424.8,100.89,0,0.01600422,0.003801002,0,1.600421957,0.380100215,0,0.470267318,-0.967320338,0
Atlanta,AL,7/26/2020,549,4160,68,599,26510,484,3203,2,12,STATE,AL,SNF,STATE,31855,39217,520728229,0.26,78,0.37,0.63,0.8,0.19,0,0,0,0,2.27,NA,CMS Region 04,30,15.69219163,2.259524708,6.94490818,2.75316324,0.815154485,1.938008755,0,0,3328,790.4,0,0.125537533,0.029815164,0,12.5537533,2.981516409,0,2.530019689,1.092432033,0,479.2,113.81,0,0.018076198,0.004293097,0,1.807619766,0.429309695,0,0.592010934,-0.845576722,0
Atlanta,AL,8/2/2020,523,4683,70,669,26508,421,3624,0,12,STATE,AL,SNF,STATE,31855,39217,520728229,0.26,78,0.37,0.63,0.8,0.19,0,0,0,0,2.27,NA,CMS Region 04,31,17.66636487,2.52376641,7,2.871662542,0.925752393,1.945910149,0,0,3746.4,889.77,0,0.141330919,0.033566093,0,14.1330919,3.356609326,0,2.648518991,1.210931335,0,535.2,127.11,0,0.020190131,0.004795156,0,2.019013128,0.479515618,0,0.702608842,-0.734978814,0
Atlanta,AL,8/9/2020,478,5161,79,748,26508,405,4029,3,15,STATE,AL,SNF,STATE,31855,39217,520728229,0.26,78,0.37,0.63,0.8,0.19,0,0,0,0,2.27,NA,CMS Region 04,32,19.46959409,2.821789648,6.89973262,2.968853971,1.037371311,1.93148266,0,0,4128.8,980.59,0,0.155756753,0.036992229,0,15.57567527,3.699222876,0,2.74571042,1.308122764,0,598.4,142.12,0,0.022574317,0.0053614,0,2.257431719,0.536140033,0,0.814227759,-0.623359896,0
Atlanta,AL,8/16/2020,369,5530,71,819,26508,369,4398,0,15,STATE,AL,SNF,STATE,31855,39217,520728229,0.26,78,0.37,0.63,0.8,0.19,0,0,0,0,2.27,NA,CMS Region 04,33,20.86162668,3.089633318,6.752136752,3.037911427,1.128052417,1.909859011,0,0,4424,1050.7,0,0.166893013,0.039637091,0,16.68930134,3.963709069,0,2.814767876,1.377180221,0,655.2,155.61,0,0.024717067,0.005870303,0,2.471706655,0.587030331,0,0.904908865,-0.53267879,0
Atlanta,AL,8/23/2020,346,5876,68,887,26508,318,4716,2,17,STATE,AL,SNF,STATE,31855,39217,520728229,0.26,78,0.37,0.63,0.8,0.19,0,0,0,0,2.27,NA,CMS Region 04,34,22.16689301,3.34615965,6.624577227,3.09859987,1.207813315,1.890786555,0,0,4700.8,1116.44,0,0.177335144,0.042117097,0,17.73351441,4.211709673,0,2.875456319,1.437868663,0,709.6,168.53,0,0.026769277,0.006357703,0,2.67692772,0.635770334,0,0.984669764,-0.452917892,0
Atlanta,AL,8/30/2020,371,6247,50,937,26423,257,4973,2,19,STATE,AL,SNF,STATE,31855,39217,520728229,0.26,78,0.37,0.63,0.8,0.19,0,0,0,0,2.27,NA,CMS Region 04,35,23.64228135,3.546152973,6.667022412,3.163036692,1.265863346,1.897173345,0,0,4997.6,1186.93,0,0.189138251,0.044920335,0,18.91382508,4.492033456,0,2.93989314,1.502305485,0,749.6,178.03,0,0.028369224,0.006737691,0,2.836922378,0.673769065,0,1.042719795,-0.394867861,0
Atlanta,AL,9/6/2020,259,6506,50,987,25611,254,5227,1,20,STATE,AL,SNF,STATE,31855,39217,520728229,0.26,78,0.37,0.63,0.8,0.19,0,0,0,0,2.27,NA,CMS Region 04,36,25.40314709,3.853812815,6.591691996,3.234873067,1.349063,1.885810068,0,0,5204.8,1236.14,0,0.203225177,0.04826598,0,20.32251767,4.826597946,0,3.011729516,1.574141861,0,789.6,187.53,0,0.030830503,0.007322244,0,3.083050252,0.732224435,0,1.125919448,-0.311668207,0
Atlanta,AL,9/13/2020,215,6721,60,1047,26456,210,5437,2,22,STATE,AL,SNF,STATE,31855,39217,520728229,0.26,78,0.37,0.63,0.8,0.19,0,0,0,0,2.27,NA,CMS Region 04,37,25.40444512,3.957514364,6.419293219,3.234924163,1.375616142,1.859308021,0,0,5376.8,1276.99,0,0.203235561,0.048268446,0,20.32355609,4.826844572,0,3.011780612,1.574192957,0,837.6,198.93,0,0.031660115,0.007519277,0,3.166011491,0.751927729,0,1.152472591,-0.285115065,0
Atlanta,AL,9/20/2020,158,6879,48,1095,26456,170,5607,1,23,STATE,AL,SNF,STATE,31855,39217,520728229,0.26,78,0.37,0.63,0.8,0.19,0,0,0,0,2.27,NA,CMS Region 04,38,26.00166314,4.138947687,6.282191781,3.258160503,1.420441574,1.837718929,0,0,5503.2,1307.01,0,0.208013305,0.04940316,0,20.80133051,4.940315996,0,3.035016952,1.597429296,0,876,208.05,0,0.033111582,0.007864001,0,3.311158149,0.786400061,0,1.197298022,-0.240289633,0
